id,destination,origin,year,migrants
846,105,116,1990,0
847,105,29,1990,0
848,105,135,1990,0
849,105,153,1990,0
850,105,106,1990,22243
851,105,172,1990,8532
852,105,107,1990,2223
853,105,137,1990,0
854,105,137,1990,0
855,105,96,1990,388
856,105,54,1990,0
857,105,81,1990,442
858,105,31,1990,1535
859,105,151,1990,0
860,105,39,1990,525
861,105,82,1990,0
862,105,83,1990,277
863,105,108,1990,614
864,105,97,1990,405
865,105,138,1990,0
866,105,120,1990,0
867,105,40,1990,0
868,105,42,1990,169
869,105,68,1990,8096
870,105,109,1990,742
871,105,139,1990,0
872,105,15,1990,0
873,105,69,1990,25679
874,105,156,1990,0
875,105,56,1990,3523
876,105,84,1990,0
877,105,98,1990,53
878,105,157,1990,0
879,105,110,1990,1093
880,105,85,1990,254
881,105,99,1990,280
882,105,32,1990,5282
883,105,43,1990,0
884,105,5,1990,697
885,105,6,1990,0
886,105,16,1990,0
887,105,44,1990,109
888,105,17,1990,2137
889,105,57,1990,70081
890,105,86,1990,24
891,105,177,1990,86768
892,105,167,1990,0
893,105,18,1990,0
894,105,121,1990,0
895,105,176,1990,0
896,105,19,1990,0
897,105,20,1990,17987
898,105,46,1990,0
899,105,159,1990,0
900,105,143,1990,0
901,105,70,1990,0
902,105,47,1990,0
903,105,71,1990,0
904,105,122,1990,0
905,105,123,1990,0
906,105,7,1990,0
907,105,160,1990,0
908,105,58,1990,0
909,105,100,1990,792
910,105,72,1990,0
911,105,59,1990,0
912,105,144,1990,0
913,105,125,1990,987
914,105,21,1990,0
915,105,150,1990,0
916,105,8,1990,0
917,105,73,1990,3535
918,105,101,1990,329
919,105,162,1990,0
920,105,48,1990,230
921,105,9,1990,127
922,105,102,1990,974
923,105,111,1990,21394
924,105,112,1990,5716
925,105,179,1990,0
926,105,33,1990,13225
927,105,61,1990,274924
928,105,158,1990,0
929,105,35,1990,6604
930,105,36,1990,11249
931,105,126,1990,0
932,105,90,1990,0
933,105,91,1990,0
934,105,92,1990,0
935,105,62,1990,0
936,105,140,1990,0
937,105,23,1990,0
938,105,164,1990,0
939,105,63,1990,0
940,105,127,1990,0
941,105,165,1990,0
942,105,37,1990,0
943,105,1,1990,0
944,105,64,1990,0
945,105,115,1990,0
946,105,133,1990,0
947,105,65,1990,59188
948,105,113,1990,120
949,105,49,1990,457
950,105,74,1990,2886
951,105,25,1990,4434
952,105,169,1990,0
953,105,166,1990,0
954,105,93,1990,0
955,105,27,1990,0
956,105,146,1990,0
957,105,26,1990,1031
958,105,170,1990,0
959,105,130,1990,0
960,105,38,1990,0
961,105,60,1990,0
962,105,142,1990,4192
963,105,50,1990,3849
964,105,131,1990,0
965,105,152,1990,0
966,105,114,1990,23363
967,105,171,1990,0
968,30,2,1990,222
