"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Venezuela (Bolivarian Republic of),,862,B R, 517 579, 513 473, 508 682, 538 197, 676 261, 703 458, 652 823
 NORTHERN AMERICA,,905,,13 497 226,16 401 865,19 983 832,22 544 557,24 944 393,26 993 925,28 321 426
   Bermuda*,30,60,B, 7 557, 8 044, 8 540, 8 783, 9 035, 9 421, 9 724
   Canada,,124,B,2 109 652,2 356 105,2 659 135,2 915 838,3 236 539,3 533 164,3 828 361
   Greenland*,31,304,B, 6 472, 4 875, 4 616, 4 461, 4 119, 3 951, 3 822
   Saint Pierre and Miquelon*,32,666,B,  560,  682,  756,  597,  531,  516,  523
   United States of America*,33,840,B,11 372 985,14 032 159,17 310 785,19 614 878,21 694 169,23 446 873,24 478 996
 OCEANIA ,,909,,2 415 657,2 535 582,2 676 615,2 988 095,3 539 535,4 006 465,4 645 856
  Australia and New Zealand,,927,,2 271 419,2 382 510,2 519 827,2 826 880,3 381 077,3 846 117,4 480 351
   Australia*,,36,B,2 013 196,2 093 280,2 189 900,2 419 190,2 922 030,3 343 330,3 812 187
   New Zealand*,34,554,B, 258 223, 289 230, 329 927, 407 690, 459 047, 502 787, 668 164
  Melanesia,,928,, 50 712, 54 089, 52 951, 57 551, 61 528, 65 369, 67 814
   Fiji,,242,B R, 6 847, 6 726, 6 601, 6 563, 7 143, 7 421, 7 601
   New Caledonia*,,540,B, 20 885, 23 908, 26 932, 29 909, 32 886, 36 181, 38 284
   Papua New Guinea,,598,C R, 19 362, 19 832, 15 874, 17 851, 18 466, 18 734, 18 895
   Solomon Islands,,90,B R, 2 349, 2 328, 2 224, 1 830, 1 546, 1 450, 1 415
   Vanuatu,,548,B R, 1 269, 1 295, 1 320, 1 398, 1 487, 1 583, 1 619
  Micronesia,,954,, 60 858, 63 046, 64 928, 63 769, 57 754, 57 402, 60 062
   Guam*,35,316,B, 39 364, 38 822, 38 280, 38 602, 38 924, 39 246, 41 508
   Kiribati,,296,B, 1 107, 1 139, 1 188, 1 312, 1 512, 1 539, 1 650
   Marshall Islands,,584,B,  721,  916, 1 164, 1 485, 1 895, 2 011, 2 021
   Micronesia (Fed. States of),,583,B, 2 099, 2 119, 1 721, 1 565, 1 503, 1 473, 1 515
   Nauru,,520,C R, 1 506, 1 395, 1 283, 1 208,  486, 1 037, 1 297
   Northern Mariana Islands*,36,580,B, 14 261, 15 847, 17 387, 15 977, 10 223, 9 100, 9 183
   Palau,,585,B, 1 800, 2 808, 3 905, 3 620, 3 211, 2 996, 2 888
  Polynesia*,,957,, 32 668, 35 937, 38 909, 39 895, 39 176, 37 577, 37 629
   American Samoa*,,16,B, 11 175, 12 037, 12 898, 12 498, 12 098, 11 998, 12 047
   Cook Islands*,37,184,B R, 1 443, 1 497, 1 552, 1 724, 1 895, 2 090, 2 290
